username,text,retweets,favorites,timestamp
@m_mistureba,http://fb.me/4KyOPWdPQ ,0,0,18m
@Skinnyduu,"@bratprinceIover tenho uma amiga que adora haha ela sempre me faz ver mil coisas, relaxa ! Aqui é tudo mistureba",0,0,28m
@lilebulas,fiz uma mistureba p elas crescerem rapido,0,0,5h
@jesspansiny,Fiz uma mistureba aqui pra comer,0,0,8h
@soladaridari,@willlw8 eu sou uma mistureba,1,0,11h
@luizac_,"Acabei de lembrar que sábado a severo tava bebendo skol beats e eu ofereci pra ela mais, só q era ceva haudhaud ficou uma mistureba",0,0,11h
@Duda_O_O,"Ta uma mistureba muito louca e eu to adorando essa bagaça toda, socorr",0,0,12h
@mayqolives,MISTUREBA: http://youtu.be/oD04UzxaYOM?a  via @YouTube,0,0,12h
@CiumentaFofa,Mistureba https://twitter.com/xrwolfgrimes/status/743137488135405568 …,0,0,12h
@adioslarisse,menina meu gosto musical eh uma mistureba tao grande porem ha regras,0,0,13h
@laripoznicov,@diegobaronenoar uma mistureba de europeus. Eu posso me naturalizar em uma dessas nacionalidades quando tiver 18 anos ai vou ter livre acess,0,0,13h
@j0aoplc,@raquely_m né?? eu mesma mistureba melo,0,0,13h
@lauramarcelads,"Meu mapa astral, olha a mistureba de características que eu sou  pic.twitter.com/ajAVbtfqgN",0,1,14h
@beapaolinelli,fiz uma mistureba mídia,0,0,14h
@belovek,"@dshguilherme pior que nao foi puro nao, um amigo foi fazer uma mistureba com frutas e quando bebi vi minha vida passar diante de mim..",0,0,14h
@samara_st,@vanessa30116881 @pekinunes @MunikBarbosa vala que estranho essa mistureba eita rsrs..,0,1,15h
@DivinnoD,"Mistureba: bolo no pote
#óreo #confetes #spaceball #KitKat #morangos #leiteNinhoempó https://www.instagram.com/p/BGsXiIPHEzH/ ",0,0,15h
@jojoaux,@_LStranger é uma mistureba na verdade hauhaua e tem cenas memoráveis,0,0,16h
@AncrCristina,"Ouvir música vendo o pôr do sol, é uma mistureba de sentimentos.",0,0,16h
@marcofox777,"@sergioferrarez @nizetticardoso Onde morei na infância tinha torrefadora, acostumar com o café de hoje não dá, mistureba brava.",0,1,17h
@mberretta,@marizampis aconteceu da seguinte forma: eu fiz uma mistureba com td que dava pq precisava de doce deu danete ficou bom comprei duas caixas,0,1,18h
@sequelaruiva,@PedroCaleffiBar tu n vai entender kkkk mas uma mistureba q ficou ácida demais,0,0,18h
@Helenarg_,"Coloquei uns biscoitos de chocolate no forno, quero só ver, fiz uma mistureba nos ingredientes q olha",0,0,18h
@delta2kbr,"E francamente, depois da mistureba de coisas sem gosto (leia-se: ubisoftização) que foi o RE6, um facelifting tava mais do que na hora.",0,0,20h
@gabs_bicigo,"Cuidar do cabelo a gente até cuida, mas é cada mistureba",0,0,21h
@Thi_Moraaes,@minadoyeol No mistureba,0,1,22h
@Dyuris,Clipe da música #rotulos da banda #rockexpresso curtam @radioputzgrila @RADIO_MISTUREBA @MixFMPoahttps://youtu.be/1vDVie3yBzE ,0,0,23h
@GLACYLEO,eleiçao unificadora em 2016. para todos os cargos.outra so em 2022.limpeza pra nao pintar sujeira.mistureba nunca mais,0,0,Jun 15
@letropicalize,@arrobaleticia se prepara hahahahaha http://criativamistureba.wix.com/mistureba#!feminismo-controverso/ryqg1 …,0,0,Jun 15
@AtlanticoSul947,"#Mistureba, na melhor @AtlanticoSul947 comigo Danúbio Barcelos. Salve e bom dia!!!pic.twitter.com/40IbvUqp4j",0,0,Jun 15
@thais_thomaz,la vem a gleice c as mistureba dela,0,0,Jun 14
@papaulojoo,@ianncagr_ @YasminPiegas_ @NanathCustodio @renan_r0cha mistureba em hsahs,2,1,Jun 14
@Ojoseense,Que mistureba louca de sensações,0,0,Jun 14
@Lola_icon,"Mortadela, queijo, espinafre, bacon e eu gorfei pensando na mistureba #MasterChefBR",0,0,Jun 14
@BMundoSertanejo,"Muito interessante a matéria,  confiram! :) http://fb.me/7NywQoFkt ",0,0,Jun 14
@BarbosaEdnildo,"A Vanessa fez uma mistureba#MasterChefBR,,",0,0,Jun 14
@apsanntos,"Interessante é que alguns pratos ñ tem nexo algum e os cortes de câmera, menos ainda! Ñ existe uma sequência! É uma mistureba! #MasterChefBR",0,0,Jun 14
@apsanntos,"@masterchefbr interessante é que alguns pratos ñ tem nexo algum e os cortes de câmera, menos ainda! Ñ existe uma sequência! É uma mistureba!",0,0,Jun 14
@CaiaoRodrigues7,Vou armar uma mistureba e vou comer kkk,0,0,Jun 14
@JefersonBR11,Com todas essas latas eu faria uma mistureba deliciosa #MasterChefBR,0,0,Jun 14
@dopeywri,"essas três integrantes são as visuais do grupo e que visual hein é uma mistureba de CL, minzy e dara mas sao lindas",0,0,Jun 14
@KFalvess,Essa cor tipo mistureba n tá favorável,0,0,Jun 14
@carolamitrano,scrrr fiz uma mistureba errada no nebulizador o negoço ta q tem detergente de tanta espuma,0,0,Jun 14
@mathewssalles15,"""@waldeir_mendes: @mathewssalles15 cozido e gostoso para kkkkk  mais não enche"" vote mistureba de coisa kaksksksksksks",0,1,Jun 14
@cleytonalmeida,@brunamlr uma mistureba pra deixar ur sapato branco,0,0,Jun 14
@Maryanna277,Que mistureba! Kkkkkkkkkkk — assistindo Haja Coração,0,0,Jun 14
@AokiKeii,"@pedromagno20 Meu canal é meio mistureba, tem de tudo porque eu nunca sei o que fazer -q",0,1,Jun 14
@freislebempriv,"Dan fez uma mistureba de comida que eu nunca vi na vida e veio aqui manda eu experimentar pra ver se ta bom pra ele fazer pra ""mina"" dele",0,0,Jun 14
@anaf_garcia,"@oMarcoMendes bleeeeeeerghhhhhhhhhh. queijo com doce de leite, mano! que mistureba!",0,0,Jun 14
@Green_Goblin_,"@raphaelcosta16 caiu Call me a star no aleatorio na exata hora que li teu tweet kkkk depois da idéia,  é uma lombra mistureba kkj",0,0,Jun 14
@taayssilvadst,Fiz aquela mistureba caseira,0,0,Jun 14
@Lucianarosse,"@uaimatheus  e vai incorporando os sotaques e gírias de cada lugar que passa, uma mistureba só uai!",0,0,Jun 14
@_daniloaragao,só quem curtiu ud e mistureba lembra dessa,0,1,Jun 14
@Onuki_Yumi,"@karenccs_ até meio eslava???? Acho que ficou uma mistureba, então pra mim fez 0 diferença a pele da mina",0,0,Jun 14
@darthkari,"""Novo god of war partirá para a mitologia nórdica"", ué, não era tudo grego? Que mistureba é essa?",0,1,Jun 14
@Raquelf777,"Adoro fazer receitinhas de hidratação pro cabelo
Fica uma coisa linda a mistureba ",0,0,Jun 14
@m_mistureba,Paco Rabanne e Courrèges voltam a integrar o calendário de alta-costura parisiense // FFWhttp://fb.me/5nv5YXFHA ,0,1,Jun 14
@AtlanticoSul947,"QUEBRA - GELO! Assim é a nossa programação a partir de agora #Mistureba. Na melhor Atlântico Sul FM 94,7. Participa via Wats App 5197009471",0,0,Jun 14
@canaldogordotv,Mistureba de assuntos - Vida de Gordo - Canal do Gordo http://fb.me/1bJJdDKvo ,0,0,Jun 14
@Keehzynha,Sobre eu tá amando a mistureba de cor no meu cabelo ,0,0,Jun 13
@SrDrigos,Fiz uma mistureba hoje na praça de alimentação hashudhus',0,0,Jun 13
@04_Spidey,"@rafaellsan_ @YouTube  não gostei da mistureba que fizeram com o simbolo do aranha do futuro, olhos do filme da guerra civil, estranho..",0,0,Jun 13
@hey9721,Minha playlist no spotify é mó mistureba kkkk,0,0,Jun 13
@sorrisoperfect,"Meu mistureba predileto, ainda misturo com uns tomates e ovo, e Td mais Q tiver kkkk deliciaaaa  https://twitter.com/leeveronvis2k/status/742522881381392384 …",0,1,Jun 13
@emilioeduardova,"Que apetitoso, só que não. Mistureba, perdi o apetite, rsrs. #XuxanaRecord.",0,0,Jun 13
@Mylittlejack_,Uma mistureba de discussões e alegrias. Em quem apoiar? https://twitter.com/diamond_foxyy/status/742538910295822336 …,0,0,Jun 13
@diamond_foxyy,Minha tl ta uma mistureba que nossinhora uahsuahsua,2,4,Jun 13
@Jessleals,"Toda vez que faço uma mistureba braba para comer,  lembro da ind. . Ela se amarra nos meus pratos hahaha  @Frooes_",1,1,Jun 13
@blueblossomcake,"esse jogo é mtu mistureba, tem tribal, robos, dinossauros
mas é bonito",0,0,Jun 13
@eubarbado,"Mas não é. O bem e o mal não são divididos por uma linha tênue, eles estão em uma mistureba quase homogênea, o que muda é o referencial.",0,0,Jun 13
@LucieneRochac,Valeu galera! Obrigada por aceitarem ao nosso chamado para ouvir a rádio Mistureba online. Aos poucos chegaremos... http://fb.me/18g2Itp73 ,0,0,Jun 13
@juliafaagundes,"agr pra tarde quentão , caldo , canjica , forrozão comendo kkkk , cachaça , caipirinha , cada mistureba ",0,0,Jun 13
@Daicarioca,Faço cada mistureba na cozinha kkk pior que fica bom,0,0,Jun 13
@ppeterpan_,Na vdd sou uma mistureba do crl,0,0,Jun 13
@TDMusica,"Entrevista | Golden Duck Orchestra: Mistureba, mas sempre com uma base rock http://tdmusi.ca/noticias/?c=41776 …",0,0,Jun 13
@Lalyfreiree,"Eita caraia, fiz uma mistureba pro cabelo bem massa",0,0,Jun 13
@prolyxa,@daaniiies há seis só com ele. O resto é mistureba,0,0,Jun 13
@Nninhavs,"Que mistureba. 
Senti falta dos meus capopes e de patd",0,1,Jun 13
@00h00pm,Ache aipim... Manooo fiz uma mistureba de coisa q fico mt mara ,0,0,Jun 13
@willromanoo,Mano a mesma coisa de sempre! Uma mistureba de games.,0,0,Jun 13
@ladyrasta,Acho essa mistureba o máximo. E me faz achar que minha avó tá comigo.,0,1,Jun 13
@severineserizy_,@JornalOGlobo Onde aqui tem racismo? Mistureba de gente malemolente e ruim como o diabo...,1,0,Jun 13
@blogdonaraposa,Texto sobre a estreia da 7º temporada de #PrettyLittleLiars para o @sitemistureba  http://bit.ly/1PUfB1g pic.twitter.com/tEFAZnWBo3,0,0,Jun 13
@Angelmix2015,Eu não conseguiria comer esse jantar meldels muita mistureba credo #maisvoce,1,1,Jun 13
@lais_handow,"@CaarolEscher kkkkkkkkkkkkkkkkkkk, culpa as mistureba",0,1,Jun 13
@mfapsue_,"Gostei da mistureba de musicas da semana, conheci várias coisas novas, algumas podreras, outros mto bom, até screamo estou ouvindo O.o",0,0,Jun 13
@Gabibatista18Gb,"Levantei , fiz uma mistureba aqui pra mim e vivi .. Tá uma delicia ",0,1,Jun 12
@biaasanc1,"@lucarellifrom claro q sim, maior mistureba hsusshsh",0,0,Jun 12
@richardkevin10,"cara... o individual da seleção ta longe de ser ruim.
ta perdendo pra uma mistureba do PERU. hahahahahahah pqp",0,0,Jun 12
@rodrigosandiniz,Pizza a moda é uma mistureba boa demais,1,2,Jun 12
@Panzzzanha,Amo essas gororobas que meus pais fazem kkk mistureba ,0,0,Jun 12
@LuizaMiele,Kiu @ Mistureba Delivery https://www.instagram.com/p/BGk5BrmNHoX/ ,0,1,Jun 12
@dram4tico,"indie, rock, pop, uma mistureba https://twitter.com/selectionado/status/742130474894659584 …",0,0,Jun 12
@Lilith__Scarlet,@revoltalol q mistureba foi essa '=' kkkkkk,0,0,Jun 12
@ysaak_jesus,"@EVERSONZOlO Fala zoio. Desafio vc a fazer uma mistureba de leite,óleo,nescau,água,bicarbonato de sódio,sal e Red bull !!!!Mande um salve!!",0,0,Jun 12
@karenmmaia,meu pai fez uma vitamina muito ruim socorro que mistureba,0,0,Jun 12
@monstaexo,"@monstvx poisé, tem isso tbm, vai ser uma mistureba braba, acho que será confuso no inicio mesmo, mas depois a gente se acostuma",0,0,Jun 12
@RockOnlineBR,"Entrevista | Golden Duck Orchestra: Mistureba, mas sempre com uma base rock http://rock.tips/noticias/?c=41776 …",0,0,Jun 12
@jhonpetter_,Açaí natural é tudo  agora imagino essa mistureba dela  #AdotadaMTV,0,1,Jun 12
@VladsonAjala,"@vitorvwerle é uma mistureba. Hoje mesmo teve Uns & Outros. Já teve Yahoo, várias bandas das décadas de 80, 90. Mas tua crítica é válida",0,0,Jun 12
